source_lang,translated
you,usted
I am,yo soy
to,para
the,los
a or A.,a o A.
and,y
that,ese
it,eso
of,de
me,me
what,qué
is,es
in,en
this,esta
know,saber
I'm,soy
for,por
no,no
have,tengo
my,mi
don't,no
just,solo
not,no
do,hacer
be,ser
on,sobre
your,tu
was,era
we,nosotros
it's,es
with,con
so,asi que
but,pero
all,todos
well,bien
are,están
he,él
oh,Oh
about,sobre
right,Derecha
you're,estás
get,obtener
here,aquí
out,fuera
going,yendo
like,igual que
yeah,sí
if,si
her,ella
she,ella
can,pueden
up,hasta
want,querer
think,pensar
that's,esa es
now,ahora
go,ir
him,él
at,a
how,cómo
got,tiene
there,allí
one,uno
did,hizo
why,por qué
see,ver
come,venir
good,bien
they,ellos
really,De Verdad
as,como
would,haría
look,Mira
when,cuando
time,tiempo
will,voluntad
okay,okey
back,espalda
can't,hipocresía
mean,significar
tell,contar
I'll,voy a
from,de
hey,Oye
were,fueron
he's,él es
could,podría
didn't,no
yes,sí
his,su
been,estado
or,o
something,alguna cosa
who,OMS
because,porque
some,algunos
had,tenía
then,luego
say,decir
ok,OK
take,llevar
an,un
way,camino
us,nosotros
little,poco
make,hacer
need,necesitar
gonna,ir a
never,Nunca
we're,fueron
too,también
love,amor
she's,ella esta
I've,He
sure,seguro
them,ellos
more,más
over,sobre
our,nuestro
sorry,perdón
where,dónde
what's,qué
let,dejar
thing,cosa
am,soy
maybe,quizás
down,abajo
man,hombre
has,tiene
uh,Oh
very,muy
by,por
there's,hay
should,deberían
anything,cualquier cosa
said,dijo
much,mucho
any,alguna
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solamente
thought,pensamiento
help,ayuda
two,dos
talk,hablar
people,gente
god,Dios
still,todavía
wait,Espere
into,dentro
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,Vamos
doesn't,no
call,llama
told,dicho
great,estupendo
before,antes de
better,mejor
ever,siempre
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabaja
you've,tienes
fine,multa
home,hogar
after,después
last,último
these,estas
day,día
keep,guardar
does,lo hace
put,poner
around,alrededor
stop,parada
they're,son
I'd,Identificación
guy,chico
long,largo
isn't,no es
always,siempre
listen,escucha
wanted,deseado
Mr.,Señor.
guys,tipo
huh,eh
those,aquellos
big,grande
lot,lote
happened,sucedió
thanks,Gracias
won't,no lo hará
trying,difícil
kind,amable
wrong,incorrecto
through,mediante
talking,hablando
made,hecha
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
mom,mamá
remember,recordar
getting,obtener
we'll,bien
together,juntos
dad,padre
leave,dejar
mother,madre
place,lugar
understand,comprender
wouldn't,no
actually,Realmente
hear,escuchar
baby,bebé
nice,bonito
father,padre
else,demás
stay,Quédate
done,hecho
wasn't,no estaba
their,su
course,curso
might,podría
mind,mente
every,cada
enough,suficiente
try,tratar
hell,infierno
came,llegó
someone,alguien
you'll,usted lo harás
own,propio
family,familia
whole,entero
another,otro
house or House,casa o casa
Jack or jack,Jack o Jack
yourself,tú mismo
idea,idea
ask,pedir
best,mejor
must,debe
coming,próximo
old,viejo
looking,mirando
woman,mujer
hello,Hola
which,cuales
years,años
room,habitación
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,verdadero
son,hijo
hope,esperar
name,nombre
same,mismo
went,fue
um,um
hmm,mmm
happy,contento
pretty,lindo
saw,vio
girl,muchacha
sir,señor
show,show
friend,amigo
already,ya
saying,diciendo
may or May,puede o puede
next,Siguiente
three,Tres
job,trabajo
problem,problema
minute,minuto
found,fundar
world,mundo
thinking,pensando
haven't,no he
heard,Escuchó
honey,miel
matter,importar
myself,yo mismo
couldn't,no podía
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,ocurrir
we've,Hemos
hurt,herir
boy,chico
both,ambos
while,tiempo
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,excusa
start,comienzo
kill,matar
hard,duro
you'd,usted
today,hoy dia
car,coche
ready,Listo
until,Hasta que
without,sin
whatever,lo que
wants,quiere
hold,sostener
wanna,querer
yet,todavía
seen,visto
deal,trato
took,tomó
once,una vez
gone,desaparecido
called,llamado
morning,Mañana
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
most,la mayoría
used,usó
worry,preocuparse
second,segundo
part,parte
live,En Vivo
truth,verdad
school,colegio
face,cara
forget,olvidar
TRUE,CIERTO
business,negocio
each,cada
cause,porque
soon,pronto
knows,sabe
few,pocos
telling,narración
wife,esposa
who's,quien es
use,usar
chance,oportunidad
run,correr
move,moverse
anyone,alguien
person,persona
bye,adiós
J.,J.
somebody,alguien
Dr. or dr.,Dr. o Dr.
heart,corazón
such,tal
miss,pierda
married,casado
point,punto
later,más tarde
making,haciendo
meet,encontrarse
anyway,de todas formas
many,muchos
phone,teléfono
reason,razón
damn,maldita sea
lost,perdió
looks,aspecto
bring,traer
case,caso
turn,girar
wish,deseo
tomorrow,mañana
kids,niños
trust,confianza
check,cheque
change,cambio
end,fin
late,tarde
anymore,ya no
five,cinco
least,menos
town,ciudad
aren't,no son
ha,decir ah
working,laboral
year,año
makes,marcas
taking,tomando
means,medio
brother,hermano
play,juego
hate,odio
ago,atrás
says,dice
beautiful,hermosa
gave,dio
fact,hecho
crazy,loco
party,partido
sit,sentarse
open,abierto
afraid,temeroso
between,Entre
important,importante
rest,descansar
fun,divertida
kid,niño
word,palabra
watch,mirar
glad,contento
everyone,todo el mundo
days,dias
sister,hermana
minutes,minutos
everybody,todos
bit,poco
couple,Pareja
whoa,whoa
either,cualquiera
Mrs.,Señora.
feeling,sentimiento
daughter,hija
wow,Guau
gets,obtiene
asked,pedido
under,debajo
break,rotura
promise,promesa
door,puerta
set,colocar
close,cerrar
hand,mano
easy,fácil
question,pregunta
doctor,doctor
tried,intentó
far,lejos
walk,andar
needs,necesidades
trouble,problema
mine,mía
though,aunque
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam or SAM,Sam o Sam
alright,bien
wedding,boda
shut,cerrar
able,capaz
die,morir
perfect,Perfecto
police,policía
stand,pararse
comes,proviene
hit,pegar
story,historia
ya,ya
mm,mm
waiting,esperando
dinner,cena
against,contra
funny,gracioso
husband,marido
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,frio
eyes,ojos
news,Noticias
child,niño
shouldn't,no debería
half,mitad
side,lado
yours,tuyo
moment,momento
sleep,dormir
read,leer
where's,donde esta
started,empezado
young,joven
men,hombres
sounds,sonidos
sonny or Sonny,Sonny o Sonny
lucky,afortunado
pick,elegir
sometimes,algunas veces
em,em
bed,cama
also,además
date,fecha
line,línea
plan,plan
hours,horas
lose,perder
fire,fuego
free,gratis
hands,manos
serious,grave
Leo,León
shit,mierda
behind,detrás
inside,dentro
high,elevado
ahead,adelante
week,semana
wonderful,maravilloso
T.,T.
fight,pelear
past,pasado
cut,Corte
quite,bastante
number,número
he'll,infierno
sick,enfermo
S.,S.
it'll,es
game,juego
eat,come
nobody,nadie
goes,va
death,muerte
along,a lo largo de
save,ahorrar
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,disgustado
Theresa,Hay una
Carly,Carly
Ethan,Ethan
met,reunió
book,libro
brought,trajo
seem,parecer
sort,clasificar
safe,a salvo
living,viviendo
children,niños
weren't,no estaban
leaving,dejando
front,parte delantera
shot,Disparo
loved,amado
asking,pidiendo
running,corriendo
clear,claro
figure,figura
hot,caliente
felt,sintió
six,seis
parents,padres
drink,bebida
absolutely,absolutamente
how's,Como es
daddy,Papito
sweet,dulce
alive,viva
Paul,Pablo
sense,sentido
meant,quiso decir
happens,sucede
David,David
special,especial
bet,apuesta
blood,sangre
ain't,no es
kidding,es una broma
lie,mentir
full,lleno
meeting,cita
dear,querido
coffee,café
seeing,viendo
sound,sonido
fault,culpa
water,agua
fuck,Mierda
ten,diez
women,mujeres
John or john,John o john
welcome,Bienvenido
buy,comprar
months,meses
hour,hora
speak,hablar
lady,señora
Jen,Jen
thinks,cree
Christmas,Navidad
body,cuerpo
order,pedido
outside,fuera de
hang,colgar
possible,posible
worse,peor
company,empresa
mistake,error
ooh,Oh
handle,resolver
spend,gastar
C.,C.
totally,totalmente
giving,donación
control,control
here's,Aquí está
marriage,matrimonio
realize,darse cuenta
D.,D.
power,poder
president,presidente
unless,a no ser que
sex,sexo
girls,chicas
send,enviar
needed,necesario
O. or o,O. o O
taken,tomado
died,murió
scared,asustado
picture,fotografía
talked,habló
Jake,Jake
Al,Alabama
ass,culo
hundred,centenar
changed,cambió
completely,completamente
explain,explicar
playing,jugando
certainly,ciertamente
sign,firmar
boys,Niños
relationship,relación
Michael,Miguel
loves,ama
fucking,maldito
hair,cabello
lying,mintiendo
choice,elección
anywhere,en cualquier sitio
secret,secreto
future,futuro
weird,extraño
luck,suerte
she'll,cascarón
Max or max.,Max o max.
Luis,Luis
turned,convertido
known,conocido
touch,tocar
kiss,Beso
Crane or crane,Grúa o grúa
questions,preguntas
obviously,obviamente
wonder,preguntarse
pain,dolor
calling,vocación
somewhere,algun lado
throw,lanzar
straight,derecho
Grace or grace,Gracia o gracia
cold,frío
white or White,blanco o blanco
fast,rápido
Natalie,Natalie
words,palabras
R.,R.
food,comida
none,ninguno
drive,conducir
feelings,sentimientos
they'll,Ellos
worked,trabajó
marry,casar
light,luz
test,prueba
drop,soltar
cannot,no poder
Frank,Franco
sent,enviado
city,ciudad
dream,sueño
protect,proteger
twenty,20
class,clase
Lucy,Lucy
surprise,sorpresa
its,su
sweetheart,cariño
forever,para siempre
poor,pobre
looked,miró
mad,enojado
except,excepto
gun,pistola
y'know,ya sabes
dance,danza
takes,acepta
appreciate,agradecer
especially,especialmente
situation,situación
besides,además
weeks,semanas
pull,jalar
himself,él mismo
hasn't,no tiene
act,actuar
worth,valer
Sheridan,Sheridan
amazing,increíble
top,cima
given,dado
expect,suponer
Ben,Ben
rather,bastante
Julian,Julian
involved,involucrado
swear,jurar
piece,pieza
busy,ocupado
law,ley
decided,decidido
black or Black,negro o negro
Joey,Joey
happening,sucediendo
movie,película
we'd,casarse
catch,captura
Antonio,Antonio
country,país
less,menos
perhaps,quizás
step,paso
fall,otoño
watching,mirando
kept,conservó
darling,querida
dog,perro
Ms.,Milisegundo.
win,ganar
air,aire
honor,honor
personal,personal
moving,Moviente
till,hasta
admit,admitir
problems,problemas
murder,asesinato
strong,fuerte
he'd,él
evil,maldad
definitely,definitivamente
feels,siente
information,información
honest,honesto
eye,ojo
broke,rompió
missed,omitido
longer,más extenso
dollars,dólares
tired,cansado
Jason,Jasón
George,Jorge
evening,noche
human,humano
starting,a partir de
Ross,Ross
red,rojo
entire,completo
trip,viaje
Brooke,Brooke
E.,MI.
club,club
Niles,Niles
suppose,suponer
calm,calma
imagine,imagina
Todd,Todd
fair,justa
caught,atrapó
B.,B.
blame,culpar
street,calle
sitting,sentado
favor,favor
apartment,Departamento
court,Corte
terrible,terrible
clean,limpio
Tony or tony,Tony o Tony
learn,aprender
Alison,Alisón
Rick,Almiar
works,obras
Rose or rose,Rosa o rosa
Frasier,Frasier
relax,relajarse
York,York
million,millón
charity,caridad
accident,accidente
wake,despertarse
prove,probar
Danny,Danny
smart,inteligente
message,mensaje
missing,desaparecido
forgot,olvidó
small,pequeña
interested,interesado
table,mesa
nbsp,nbsp
become,volverse
Craig,Craig
mouth,boca
pregnant,embarazada
middle,medio
Billy or billy,Billy o Billy
ring,anillo
careful,Cuidado
shall,deberá
dude,tipo
team,equipo
ride,paseo
figured,figurado
wear,vestir
shoot,disparo
stick,palo
Ray or ray,Rayo o rayo
follow,seguir
Bo,Bo
angry,enfadado
instead,en lugar de
buddy,compañero
write,escribir
stopped,interrumpido
early,temprano
Angel or angel,Ángel o ángel
Nick or nick,Nick o Nick
ran,corrió
war,guerra
standing,de pie
forgive,perdonar
jail,celda
wearing,vistiendo
Miguel,Miguel
ladies,señoras
kinda,un poco
lunch,comida
Cristian,Cristiano
eight,ocho
Greenlee,Greenlee
gotten,conseguido
hoping,esperando
Phoebe,Phoebe
thousand,mil
ridge,cresta
music,música
Luke,Lucero
paper,papel
tough,difícil
tape,cinta
Emily,Emily
state,estado
count,contar
college,Universidad
boyfriend,novio
proud,orgulloso
agree,de acuerdo
birthday,cumpleaños
bill,factura
seven,Siete
they've,ellos han
Timmy,Timmy
history,historia
share,Cuota
offer,oferta
hurry,apurarse
ow,Ay
feet,pies
wondering,preguntarse
simple,sencillo
decision,decisión
building,edificio
ones,unos
finish,terminar
voice,voz
herself,sí misma
Chris,Chris
would've,habría
list,lista
Kay,Kay
mess,desorden
deserve,merecer
evidence,evidencia
cute,lindo
Jerry,alemán
dress,vestido
Richard,Ricardo
interesting,interesante
Jesus,Jesús
James,Jaime
hotel,hotel
enjoy,disfrutar
Ryan,Ryan
Lindsay,Lindsay
quiet,tranquilo
concerned,preocupado
road,la carretera
Eve or eve,Eva o Eva
staying,quedarse
short,pequeño
M.,METRO.
beat,derrotar
sweetie,cariño
mention,mencionar
clothes,ropa
finished,finalizado
fell,cayó
neither,ninguno
mmm,mmm
fix,reparar
Victor or victor,Victor o Victor
respect,el respeto
spent,gastado
prison,prisión
attention,atención
holding,tenencia
calls,llamadas
near,cerca
surprised,sorprendido
bar,bar
Beth,Beth
pass,aprobar
keeping,acuerdo
gift,regalo
hadn't,no tenía
putting,poniendo
dark,oscuro
self,uno mismo
owe,deber
using,utilizando
Nora,Nora
ice,hielo
helping,Ayudar
bitch,perra
normal,normal
aunt,tía
lawyer,abogado
apart,aparte
certain,cierto
plans,planes
Jax,Jax
girlfriend,Novia
floor,suelo
whether,ya sea
everything's,todo es
present,regalo
earth,tierra
private,privado
Jessica,Jessica
box,caja
Dawson,Dawson
cover,cubrir
judge,juez
upstairs,piso de arriba
Alexis,Alexis
Shawn,Shawn
sake,motivo
mommy,mami
possibly,posiblemente
worst,peor